title,author,refer,Post Title,published_date,read_time
How to extract data from a website?,By Sarah Lang,https://www.zyte.com/blog/how-to-extract-data-from-a-website/,How to extract data from a website?,15-Jul-21,7
Van Buren: A victory for web scrapers,By Victoria Vlahoyiannis,https://www.zyte.com/blog/van-buren-a-victory-for-web-scrapers/,Van Buren: A victory for web scrapers,23-Jun-21,4
Zyte Developers Community newsletter issue #7,By Zyte team,https://www.zyte.com/blog/zyte-developers-community-newsletter-issue-7/,Zyte Developers Community newsletter issue #7,1-Jul-21,< 1
Zyte Developers Community newsletter issue #6,By Zyte team,https://www.zyte.com/blog/zyte-developers-community-newsletter-issue-6/,Zyte Developers Community newsletter issue #6,17-Jun-21,< 1
Zyte Developers Community newsletter issue #5,By Zyte team,https://www.zyte.com/blog/zyte-developers-community-newsletter-issue-5/,Zyte Developers Community newsletter issue #5,3-Jun-21,< 1
How web data can help fuel your dynamic pricing strategy,By Himanshi Bhatt,https://www.zyte.com/blog/how-web-data-can-fuel-your-dynamic-pricing-strategy/,How web data can help fuel your dynamic pricing strategy,17-Jun-21,3
Extracting article & news data: The importance of data quality,By Alexandra Harris,https://www.zyte.com/blog/news-api-blog-importance-of-article-quality/,Extracting article & news data: The importance of data quality,2-Jun-21,4
Extract JSONs like a pro with chompjs and JMESPath,By Roy Healy,https://www.zyte.com/blog/extract-json-using-chompjs-and-jmespath/,Extract JSONs like a pro with chompjs and JMESPath,3-Jun-21,3
Zyte Developers Community newsletter issue #8,By Zyte team,https://www.zyte.com/blog/zyte-developers-community-newsletter-issue-8/,Zyte Developers Community newsletter issue #8,15-Jul-21,2
Scale up your Scrapy projects with Smart Proxy Manager,By John Campbell,https://www.zyte.com/blog/scale-up-your-scrapy-projects-with-zyte-smart-proxy-manager-formerly-crawlera/,Scale up your Scrapy projects with Smart Proxy Manager,1-Jul-21,2
Alternative data for hedge funds & portfolio management,By John Campbell,https://www.zyte.com/blog/alternative-data-for-hedge-funds-portfolio-management/,Alternative data for hedge funds & portfolio management,13-May-21,7
Insurance & credit scoring with alternative data,By John Campbell,https://www.zyte.com/blog/insurance-credit-scoring-enhanced-with-alternative-data/,Insurance & credit scoring with alternative data,19-Mar-21,9
Zyte Developers Community newsletter issue #1,By Attila Toth,https://www.zyte.com/blog/zyte-developers-community-newsletter-issue-1/,Zyte Developers Community newsletter issue #1,29-Mar-21,2
Extract Summit 2021 - come join the web data revolution,By Marie Moynihan,https://www.zyte.com/blog/extract-summit-2021-come-join-the-web-data-revolution/,Extract Summit 2021 - come join the web data revolution,18-May-21,2
Zyte Developers Community newsletter issue #2,By Attila Toth,https://www.zyte.com/blog/zyte-developers-community-newsletter-issue-2/,Zyte Developers Community newsletter issue #2,"April 8, 2021",2
Zyte Developers Community newsletter issue #4,By Attila Toth,https://www.zyte.com/blog/zyte-developers-community-newsletter-issue-4/,Zyte Developers Community newsletter issue #4,21-May-21,< 1
Launching the Zyte Developers Community,By Attila Toth,https://www.zyte.com/blog/launching-the-zyte-developers-community/,Launching the Zyte Developers Community,11-Mar-21,< 1
Zyte Developers Community newsletter issue #3,By Attila Toth,https://www.zyte.com/blog/zyte-developers-community-newsletter-issue-3/,Zyte Developers Community newsletter issue #3,"April 28, 2021",< 1
The importance of web data and how to easily access it,By Alexandra Harris,https://www.zyte.com/blog/the-importance-of-web-data-and-how-to-easily-access-it/,The importance of web data and how to easily access it,11-May-21,4
